Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF 50V,C_0603_1608Metric,11.0,15.2,0.0,top
C10,10u,C_0603_1608Metric,18.322,11.587,180.0,top
C11,100n,C_0402_1005Metric,18.1696,12.9078,180.0,top
C12,10u,C_0603_1608Metric,19.9,41.8,-90.0,top
C13,100n,C_0402_1005Metric,21.2,41.76,90.0,top
C14,100n,C_0402_1005Metric,35.139,19.4288,0.0,top
C16,2n2,C_0402_1005Metric,26.1938,20.6,180.0,top
C17,100n,C_0402_1005Metric,23.836,19.3272,0.0,top
C19,2n2,C_0402_1005Metric,23.8062,20.6,0.0,top
C2,100nF,C_0402_1005Metric,7.3,18.6,0.0,top
C3,22uF,C_0603_1608Metric,4.2,18.7,-90.0,top
C4,100n,C_0402_1005Metric,11.7,23.6,90.0,top
C6,10u,C_0603_1608Metric,14.7914,11.5616,0.0,top
C7,100n,C_0402_1005Metric,10.2,23.7,-90.0,top
C8,100n,C_0402_1005Metric,14.766,12.8824,0.0,top
C9,2u2,C_0402_1005Metric,17.4526,41.2978,-90.0,top
D1,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,14.8082,38.0815,-90.0,top
D2,GREEN,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,17.9921,38.0854,-90.0,top
D3,SM4007PL,D2_SOD-123,10.1,11.2,-90.0,top
D4,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,19.5942,17.7778,-90.0,top
D5,B5819W,D_SOD-123,17.0796,16.9042,90.0,top
D6,B5819W,D_SOD-123,14.565,16.9042,90.0,top
J1,Conn_01x04_Pin,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,26.5,5.75,-90.0,top
J2,Conn_01x04_Pin,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,38.5,5.75,-90.0,top
J3,Conn_01x02_Pin,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,4.0,8.75,-90.0,top
J4,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,4.9196,29.0574,-90.0,top
L1,18uH 580mA,L_Sunlord_SWPA3012S,11.2,18.45,90.0,top
Q1,MMDT2222A,SOT-363_SC-70-6,13.3858,32.8168,90.0,top
R1,5K1,R_0402_1005Metric,15.8496,38.1069,-90.0,top
R10,5K1,R_0402_1005Metric,10.0838,32.6898,90.0,top
R11,5K1,R_0402_1005Metric,11.0998,32.6898,-90.0,top
R12,10K,R_0402_1005Metric,18.5702,41.3,90.0,top
R13,10K,R_0402_1005Metric,36.684,21.436,-90.0,top
R14,1K,R_0402_1005Metric,31.625,22.015,-90.0,top
R15,1K,R_0402_1005Metric,30.4058,22.015,-90.0,top
R16,0R,R_0402_1005Metric,18.195,13.8984,180.0,top
R19,1K,R_0402_1005Metric,30.9988,15.6696,-90.0,top
R2,5K1,R_0402_1005Metric,16.9164,38.1069,-90.0,top
R20,1K,R_0402_1005Metric,20.6864,15.6442,-90.0,top
R21,88.7k,R_0603_1608Metric,2.0,17.0,-90.0,top
R22,22.1k,R_0603_1608Metric,4.2,15.45,90.0,top
R3,200K,R_0402_1005Metric,12.0,12.5,90.0,top
R4,5K1,R_0402_1005Metric,9.0678,32.6898,-90.0,top
R5,5K1,R_0402_1005Metric,8.2,23.2,0.0,top
R6,5K1,R_0402_1005Metric,19.5942,15.6188,-90.0,top
R7,5K1,R_0402_1005Metric,14.4,23.9,0.0,top
R8,10K,R_0402_1005Metric,15.4,20.9,180.0,top
R9,10K,R_0402_1005Metric,17.6,20.9,180.0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,1.8796,37.8438,-90.0,top
U1,TPS560430,SOT-23-6,7.25,16.25,0.0,top
U2,CP2102N-A01-GQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,12.3538,27.838284,-90.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,16.6202,6.33,90.0,top
U4,CC6920BSO-5A,SOIC-8_3.9x4.9mm_P1.27mm,35.3422,16.1014,90.0,top
U5,CC6920BSO-5A,SOIC-8_3.9x4.9mm_P1.27mm,25.0044,16.0506,90.0,top
U7,ESP32-WROOM-32E-R2,ESP32-WROOM-32D,31.9,33.69,0.0,top
